,lneur,r-mkt,lncpi,lnipsa,lntr
1993-03,-0.307576767,0.341,-0.398393608,-0.121947355,-0.992477519
1993-04,-0.280876391,0.3161,-0.390539776,-0.122988289,-0.918165301
1993-05,-0.247222987,0.2531,-0.370445329,-0.137850522,-0.929961652
1993-06,-0.221388769,0.3332,-0.364330113,-0.128094234,-0.972333253
1993-07,-0.22604291,0.3531,-0.356758749,-0.122896735,-0.954650541
1993-08,-0.223207746,0.2441,-0.349974919,-0.07465384,-0.871450656
1993-09,-0.215038916,0.3851,-0.329179136,-0.082525268,-0.852709585
1993-10,-0.185213675,0.3736,-0.303792727,-0.05544003,-0.876573264
1993-11,-0.157062463,0.5963,-0.281136361,-0.085045367,-0.924705643
1993-12,-0.140331132,0.3466,-0.263775988,-0.080384327,-0.83778404
1994-01,-0.135118691,0.31,-0.244681405,-0.100524589,-0.905663848
1994-02,-0.119005293,0.321,-0.232602537,-0.077143224,-0.878807143
1994-03,-0.108700823,0.2622,-0.218030951,-0.056317589,-0.859819985
1994-04,-0.105950291,0.2421,-0.193998643,-0.031342988,-0.825156531
1994-05,-0.099051229,0.3835,-0.183148877,-0.019611978,-0.691237746
1994-06,-0.106834045,0.2233,-0.1686487,-0.016860123,-0.570381798
1994-07,-0.098120421,0.319,-0.154973705,0.004191142,-0.463909505
1994-08,-0.097592806,0.2443,-0.14698684,-0.00366013,-0.407865297
1994-09,-0.089923798,0.2636,-0.129995502,-0.031833909,-0.293728836
1994-10,-0.09465521,0.3127,-0.113865077,-0.015327729,-0.265415945
1994-11,-0.083551958,0.3602,-0.095075563,-0.008619078,-0.232144333
1994-12,-0.073575172,0.2473,-0.085819355,-0.005052668,-0.194485596
1995-01,-0.066375598,0.1932,-0.066550282,0.024541784,-0.220875134
1995-02,-0.073638697,0.2042,-0.054390784,0.020861526,-0.203875903
1995-03,-0.078418519,0.1601,-0.051373872,0.001092399,-0.130980812
1995-04,-0.076367997,0.1099,-0.05288119,-0.015944518,-0.090088199
1995-05,-0.078960896,0.064,-0.042377365,-0.001407716,-0.038638059
1995-06,-0.067846013,0.0734,-0.037909282,0.021961086,-0.035639898
1995-07,-0.072391693,0.0769,-0.036424346,0.009016921,-0.052670452
1995-08,-0.065612944,0.0891,-0.039396426,-0.032210096,-0.121087883
1995-09,-0.055938924,0.0928,-0.029032565,-0.010120772,-0.051467034
1995-10,-0.036542399,0.1155,-0.024623581,-0.04148172,-0.064392441
1995-11,-0.016830653,0.1243,-0.0100658,-0.014464863,-0.065277301
1995-12,0,0.1586,0,0,0
1996-01,0.011823717,0.1251,0.013401845,-0.022733718,-0.060376477
1996-02,0.019194688,0.1472,0.025134654,-0.01912702,-0.115400921
1996-03,0.030524698,0.1551,0.04068177,-0.011901206,-0.155790507
1996-04,0.022693499,0.1657,0.054935089,0.000556463,-0.136927361
1996-05,0.021130404,0.1873,0.060580015,-0.006060163,-0.182687399
1996-06,0.021010754,0.1801,0.062517322,-0.012269968,-0.093368953
1996-07,0.020749543,0.1673,0.065322448,0.009207463,-0.029014352
1996-08,0.013761979,0.1301,0.059704305,-0.006049981,0.234829245
1996-09,0.01684662,0.105,0.063390573,0.034573653,0.226902973
