,lndem,r-mkt,r-bond,lncpi,lnipsa,lntr
1993-06,0.098429012,0.0762,0.090528571,-0.01528414,-0.184144587,-0.489663055
1993-07,0.118917393,0.0727,0.085963636,-0.017486784,-0.19015928,-0.595744487
1993-08,0.141622925,0.0665,0.07865,-0.018589928,-0.181407015,-0.683339186
1993-09,0.157651746,0.0668,0.079854545,-0.016384856,-0.157600789,-0.843182468
1993-10,0.121993178,0.0687,0.07667619,-0.01528414,-0.143354118,-0.750784229
1993-11,0.114616474,0.0658,0.073872727,-0.017486784,-0.132393939,-0.70622052
1993-12,0.097175237,0.059,0.070261905,-0.017486784,-0.121713534,-0.618014517
1994-01,0.052095608,0.0519,0.06537,-0.019694291,-0.108442045,-0.361807057
1994-02,0.064931521,0.0482,0.065775,-0.016384856,-0.114336504,-0.228556249
1994-03,0.072818339,0.048,0.074526087,-0.014184635,-0.112899516,-0.305484689
1994-04,0.066034645,0.0513,0.082921053,-0.011989244,-0.093621353,-0.318792367
1994-05,0.085122408,0.0514,0.085247619,-0.011989244,-0.071778887,-0.179871556
1994-06,0.090530561,0.0561,0.095347619,-0.003255564,-0.07823082,-0.053083309
1994-07,0.077211135,0.0546,0.098933333,-0.002169198,-0.072698047,0.015881899
1994-08,0.059150321,0.0596,0.1059,0,-0.079927513,-0.007406097
1994-09,0.033550616,0.0557,0.105286364,0.002164503,-0.042505707,0.04200118
1994-10,0.006090868,0.0539,0.100833333,0.003245,-0.030238698,0.098074842
1994-11,0.017612449,0.0543,0.102313636,0,-0.046379544,0.063667726
1994-12,0.007222461,0.057,0.1021,-0.001084011,-0.021609381,0.060278241
1995-01,0.027283259,0.0585,0.102371429,0,-0.012765154,0.042173103
1995-02,0.020421354,0.0599,0.102195,0.002164503,-0.016235522,0.067958297
1995-03,0.03017812,0.0606,0.101791304,0.002164503,-0.005573672,0.100447237
1995-04,0.009522521,0.0597,0.09415,0.002164503,-0.009594529,0.058316085
1995-05,0.013415091,0.0587,0.088371429,0.004324331,-0.009306788,0.053370173
1995-06,0.014812173,0.0602,0.086995238,0.007555352,-0.017394993,0.074923799
1995-07,-0.001175624,0.0613,0.087404762,0.007555352,-0.001140788,0.101437826
1995-08,-0.016597555,0.0608,0.083369565,0.004324331,0.010208945,0.058682521
1995-09,-0.016643209,0.0595,0.079752381,0.004324331,-0.024526238,0.016117189
1995-10,-0.009267953,0.0561,0.079472727,0.004324331,-0.026280445,-0.001575212
1995-11,-0.021654929,0.0493,0.075177273,0.001082837,-0.020881494,0.05819391
1995-12,0,0.0454,0.073794444,0,0,0
1996-01,0.005194874,0.042,0.070345455,0.003245,-0.00973843,-0.162190243
1996-02,0.015643064,0.0428,0.076728571,0.007555352,0.014853439,-0.111603905
1996-03,0.031996915,0.0401,0.077057143,0.008630043,-0.002997347,-0.194370786
1996-04,0.039016496,0.0382,0.074655,0.00970358,-0.019572631,-0.26459931
1996-05,0.0161018,0.0376,0.073595238,0.012917295,0.018497605,-0.420981903
1996-06,0.003563049,0.0372,0.072115789,0.011847204,0.011900349,-0.440515336
1996-07,0.003128207,0.0363,0.070665217,0.012917295,0.001993252,-0.424058342
1996-08,-0.008603317,0.0354,0.071604545,0.00970358,0.025885221,-0.393853516
1996-09,-0.01536806,0.0328,0.0692,0.010775966,0.04473242,-0.393756037
1996-10,-0.016293486,0.031,0.065091304,0.012917295,0.049219659,-0.336523043
1996-11,-0.013198953,0.0308,0.064666667,0.00970358,0.053281568,-0.345842681
1996-12,-0.017802513,0.0308,0.063438889,0.00970358,0.038032182,-0.372532616
1997-01,-0.018881694,0.0307,0.06137619,0.010775966,0.061771646,0.165447405
1997-02,-0.02020677,0.0307,0.059105,0.011847204,0.051658784,0.131896314
1997-03,-0.021117406,0.0307,0.061173684,0.012917295,0.064714871,0.100366145
1997-04,-0.008391269,0.0308,0.063572727,0.018250641,0.090040026,0.014095816
1997-05,-0.008378466,0.0308,0.061575,0.021437048,0.071106541,0.024307914
1997-06,-0.021815546,0.0307,0.060895,0.022496932,0.112831788,0.024900818
