,lndem,r-mkt,lncpi,lnipsa,lntr
1989-05,-0.422413441,0.1251,-0.33278047,-0.110855356,0.120965339
1989-06,-0.423896889,0.1259,-0.328505908,-0.086534528,0.125602557
1989-07,-0.428104083,0.1268,-0.32744778,-0.098042135,0.16084399
1989-08,-0.43207894,0.1278,-0.325319582,-0.102682514,0.217291786
1989-09,-0.414032502,0.1264,-0.320026426,-0.078557278,0.296258544
1989-10,-0.408978236,0.1285,-0.312659742,-0.075157841,0.294448253
1989-11,-0.405603857,0.1291,-0.306396925,-0.074027259,0.24211664
1989-12,-0.390248978,0.1308,-0.302233435,-0.066148771,0.291532967
1990-01,-0.395054608,0.1314,-0.292935886,-0.096885397,0.327552579
1990-02,-0.402777703,0.1347,-0.285765387,-0.092271778,0.322958409
1990-03,-0.405104944,0.12957,-0.281701384,-0.08882548,0.386224762
1990-04,-0.411134062,0.12334,-0.277639249,-0.084248813,0.417011584
1990-05,-0.407486164,0.12272,-0.274610708,-0.094575927,0.514823341
1990-06,-0.410013057,0.11495,-0.270577216,-0.102682514,0.605732812
1990-07,-0.413000103,0.11592,-0.267569956,-0.099200213,0.662200613
1990-08,-0.398515424,0.11636,-0.260578429,-0.091121692,0.689263424
1990-09,-0.390043728,0.10821,-0.254632497,-0.092271778,0.681495293
1990-10,-0.388543172,0.11491,-0.246740334,-0.098042135,0.677337476
1990-11,-0.386905031,0.12667,-0.240875876,-0.110855356,0.611268769
1990-12,-0.379433781,0.1372,-0.238923998,-0.095729995,0.589343963
1991-01,-0.38788202,0.13386,-0.23212924,-0.089972927,0.582075902
1991-02,-0.391082963,0.13524,-0.224425844,-0.108513435,0.587896799
1991-03,-0.404199214,0.12641,-0.218690428,-0.116734268,0.560649486
1991-04,-0.402457894,0.12043,-0.214875882,-0.122647946,0.533402184
1991-05,-0.397737963,0.11574,-0.211075831,-0.113202775,0.495857882
1991-06,-0.396196007,0.11559,-0.206352774,-0.108513435,0.444080407
1991-07,-0.391919387,0.11809,-0.202598441,-0.108513435,0.462426673
1991-08,-0.392195167,0.11971,-0.199775049,-0.105010804,0.449684038
1991-09,-0.389573846,0.11746,-0.195104942,-0.092271778,0.488759047
1991-10,-0.38909883,0.11505,-0.190456544,-0.099200213,0.434907462
1991-11,-0.383974295,0.11824,-0.183982218,-0.095729995,0.399921447
1991-12,-0.375677359,0.12924,-0.181224072,-0.107344528,0.332622992
1992-01,-0.386011412,0.12152,-0.174809055,-0.100359633,0.255388615
1992-02,-0.387135847,0.12209,-0.170253836,-0.096885397,0.234203179
1992-03,-0.382399594,0.12301,-0.165719274,-0.098042135,0.201207592
1992-04,-0.38623235,0.1241,-0.163010974,-0.095729995,0.124867002
1992-05,-0.384193507,0.12406,-0.15761628,-0.101520399,0.12610778
1992-06,-0.379561055,0.13464,-0.15491691,-0.102682514,-0.00319374
1992-07,-0.379289524,0.15642,-0.153138536,-0.115555717,-0.265571513
1992-08,-0.368520687,0.15433,-0.150451209,-0.128596803,-0.389329034
1992-09,-0.233955664,0.18222,-0.148667934,-0.138189203,-0.214173046
1992-10,-0.25708533,0.15584,-0.143349861,-0.133381501,-0.139628876
1992-11,-0.235715568,0.14502,-0.137172529,-0.126213012,-0.043756742
1992-12,-0.193200403,0.13896,-0.136298586,-0.14302013,-0.233242331
1993-01,-0.17245409,0.12669,-0.131033123,-0.128596803,-0.160143372
1993-02,-0.133251409,0.11498,-0.126672587,-0.130986291,-0.195673112
1993-03,-0.110315184,0.11352,-0.124067865,-0.130986291,-0.179643018
1993-04,-0.16674267,0.11455,-0.11973753,-0.133381501,-0.217365279
1993-05,-0.17074612,0.10812,-0.115425866,-0.138189203,-0.286076148
1993-06,-0.1899017,0.10251,-0.110268889,-0.144231517,-0.230175792
1993-07,-0.1743506,0.09543,-0.107706491,-0.15153082,-0.273746339
1993-08,-0.144878828,0.0933,-0.105997772,-0.149091794,-0.305282406
1993-09,-0.12389757,0.09113,-0.104304229,-0.145444374,-0.145612555
1993-10,-0.130351653,0.08775,-0.098362746,-0.144231517,-0.192643054
1993-11,-0.105798953,0.0901,-0.094979924,-0.138189203,-0.164281053
1993-12,-0.113325072,0.08593,-0.094142073,-0.136985109,-0.23681918
1994-01,-0.125821421,0.08417,-0.088260486,-0.133381501,-0.067082165
1994-02,-0.115124767,0.08449,-0.08491161,-0.119095544,-0.02680492
1994-03,-0.137296425,0.0842,-0.075777486,-0.107344528,-0.060912587
1994-04,-0.143713783,0.08111,-0.079921196,-0.08882548,-0.05794219
1994-05,-0.132179497,0.07812,-0.075777486,-0.083107911,-0.017006662
1994-06,-0.106196549,0.08107,-0.073289967,-0.077422848,-0.024441749
1994-07,-0.100988425,0.08481,-0.070820478,-0.072897953,0.016288292
1994-08,-0.097069656,0.08925,-0.069173588,-0.072897953,-0.037842037
1994-09,-0.09493791,0.08716,-0.065899721,-0.067270476,-0.049869242
1994-10,-0.078087986,0.08847,-0.060991317,-0.067270476,-0.169776065
1994-11,-0.070670631,0.08756,-0.056925151,-0.052785543,-0.234962116
1994-12,-0.049336394,0.0904,-0.054495697,-0.029821166,-0.078634402
1995-01,-0.043626427,0.09129,-0.050165376,-0.031985669,-0.114078771
1995-02,0.034708076,0.09093,-0.042954989,-0.037417513,-0.133268265
1995-03,0.111701209,0.11009,-0.034217398,-0.034154867,-0.211925408
1995-04,0.096293506,0.10958,-0.030269829,-0.035241234,-0.231846955
1995-05,0.0515241,0.10452,-0.023981428,-0.029821166,-0.152799832
1995-06,0.069457247,0.10942,-0.017743569,-0.029821166,0.089812437
1995-07,0.037554128,0.10961,-0.016181745,-0.029821166,0.079231609
1995-08,-0.000660506,0.10476,-0.013076588,-0.015864955,0.003160726
1995-09,0.027154248,0.10402,-0.010762406,-0.019068374,-0.063900995
1995-10,0.020451756,0.10773,-0.006906174,-0.012671764,-0.045236405
1995-11,0.004500166,0.10675,-0.001525671,-0.011609629,-0.10808238
1995-12,0,0.1061,0,0,0
1996-01,-0.030389823,0.1007,0.003837041,-0.010548621,-0.018885074
1996-02,-0.041694427,0.09926,0.00772519,-0.021209703,-0.018826685
1996-03,-0.039044362,0.09848,0.0116092,-0.031985669,0.01117069
1996-04,-0.078703828,0.09618,0.015478183,-0.045072006,0.137423311
1996-05,-0.090801962,0.08917,0.019321419,-0.045072006,0.268031059
1996-06,-0.092087254,0.08766,0.021248327,-0.042879023,0.339491383
1996-07,-0.06774172,0.08748,0.020285337,-0.042879023,0.359134022
1996-08,-0.078256184,0.08809,0.021248327,-0.040690838,0.308639771
1996-09,-0.10056656,0.08438,0.022199585,-0.050575598,0.334338878
1996-10,-0.098649211,0.08022,0.023160735,-0.048370525,0.386248126
1996-11,-0.114011632,0.07412,0.026985367,-0.052785543,0.32342085
1996-12,-0.115981508,0.07245,0.027931186,-0.055000384,0.274881725
1997-01,-0.113548673,0.07233,0.030784714,-0.050575598,0.313666484
1997-02,-0.102815675,0.0736,0.031737651,-0.03306968,0.269307786
1997-03,-0.100680353,0.07429,0.034580353,-0.028740669,0.222201698
1997-04,-0.11030615,0.07117,0.03551902,-0.005260401,0.184560364
1997-05,-0.105845653,0.06835,0.038351009,-0.008429976,0.21678678
1997-06,-0.124710447,0.06883,0.038351009,0,0.190379512
1997-07,-0.125140759,0.06888,0.038351009,0.004188488,0.317336052
1997-08,-0.119734828,0.06875,0.039296766,0.010438508,0.381081094
1997-09,-0.122697522,0.06666,0.040241629,0.011476391,0.452732846
1997-10,-0.118409628,0.0665,0.043060294,0.020769179,0.444201681
