,lndem,r-mkt,lncpi,lnipsa,lntr
1996-08,-0.00029779,0.0744,0.024800704,-0.020372184,0.406431245
1996-09,-0.005868015,0.0733,0.027173028,-0.019162263,0.422623139
1996-10,-0.00482634,0.0685,0.028515215,-0.009535233,0.45404582
1996-11,-0.005384455,0.0687,0.028635161,-0.004756252,0.493016832
1996-12,-0.003045169,0.0655,0.031553027,-0.014337163,0.518657424
1997-01,-0.000640712,0.0611,0.034462404,0.014134511,0.570198586
1997-02,0.002641116,0.0615,0.033790092,-0.004756252,0.557333935
1997-03,0.011204007,0.0583,0.034234736,0.05985676,0.563574057
1997-04,-0.004069349,0.056,0.034679183,0.046358243,0.584347704
1997-05,0.001141826,0.0547,0.036141211,0.032675019,0.598017208
1997-06,-0.00247856,0.0534,0.036022163,0.04181794,0.609213825
1997-07,-0.003741546,0.0534,0.037925236,0.054254505,0.62714957
1997-08,-0.000733102,0.0549,0.042366047,0.06320311,0.648874202
1997-09,-0.002123031,0.0531,0.047236831,0.06320311,0.671372013
1997-10,-0.002357956,0.0512,0.046904998,0.076477642,0.684718252
1997-11,-0.002222039,0.0518,0.048883661,0.06320311,0.689068991
1997-12,-0.000513102,0.0489,0.051530013,0.067647562,0.684822062
1998-01,0.000415837,0.0483,0.053829207,0.076477642,0.676979782
1998-02,0.001572407,0.0529,0.051530013,0.101438243,0.682217728
1998-03,0.001752902,0.0459,0.05196684,0.090662277,0.67358489
1998-04,0.003071206,0.0459,0.054488185,0.104648518,0.670443961
1998-05,0.00382883,0.0432,0.055804841,0.10250948,0.673703167
1998-06,0.000186252,0.0433,0.05646252,0.10250948,0.666615921
1998-07,0.002173023,0.044,0.060061473,0.10250948,0.678846484
1998-08,0.001065991,0.046,0.062783827,0.098217628,0.679662439
1998-09,0.002622153,0.0447,0.063542233,0.101438243,0.707782206
1998-10,0.004407579,0.0404,0.063647521,0.109976182,0.715193222
1998-11,0.003763831,0.0362,0.062678447,0.106782991,0.689205829
1998-12,0.006493782,0.03,0.065498789,0.115275611,0.471488679
1999-01,#N/A,0.0311,0.069170135,0.122647946,0.383824284
1999-02,#N/A,0.0309,0.069714444,0.099292319,0.334573129
1999-03,#N/A,0.0291,0.074131214,0.105716324,0.256489422
1999-04,#N/A,0.0269,0.077885241,0.115275611,0.171375491
1999-05,#N/A,0.0254,0.07777106,0.111038317,0.046814962
1999-06,#N/A,0.0256,0.077989031,0.121598077,0.015491963
1999-07,#N/A,0.0251,0.082369484,0.138265129,0.015509094
1999-08,#N/A,0.0243,0.086617658,0.125790955,0.004657832
1999-09,#N/A,0.0242,0.088529625,0.138265129,-0.038646483
1999-10,#N/A,0.0248,0.088108484,0.138265129,-0.029621005
1999-11,#N/A,0.0292,0.089689415,0.153642162,-0.04522064
